 Mortalidade - Brasil - Dados preliminares
Óbitos p/Residênc por Município e Faixa Etária
Causas evitáveis - 0 a 4 anos: 1.1. Reduzível pelas ações de imunização, 1.2.1 Reduzíveis atenção à mulher na gestação, 1.2.2 Reduz por adequada atenção à mulher no parto, 1.2.3 Reduzíveis adequada atenção ao recém-nascido, 1.3. Reduz ações diagnóstico e tratamento adequado, 1.4. Reduz. ações promoção à saúde vinc. Aç. At
Faixa Etária: Menor 1 ano, 1 a 4 anos, 5 a 9 anos
Período:2017
"Município";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"Total"
"220680 Nossa Senhora dos Remédios";2;-;-;2
"220700 Oeiras";4;-;-;4
"220750 Palmeirais";3;1;-;4
"220755 Paquetá";-;1;-;1
"220770 Parnaíba";22;-;1;23
"220775 Passagem Franca do Piauí";2;-;-;2
"220777 Patos do Piauí";1;-;-;1
"220779 Pau D'Arco do Piauí";1;-;-;1
"220780 Paulistana";4;1;1;6
"220790 Pedro II";6;1;-;7
"220793 Pedro Laurentino";1;-;-;1
"220800 Picos";14;-;-;14
"220810 Pimenteiras";1;1;-;2
"220820 Pio IX";2;1;-;3
"220830 Piracuruca";4;1;-;5
"220840 Piripiri";10;2;-;12
"220850 Porto";3;-;-;3
"220855 Porto Alegre do Piauí";1;1;-;2
"220865 Queimada Nova";1;-;-;1
"220870 Redenção do Gurguéia";1;-;-;1
"220880 Regeneração";1;-;-;1
"220887 Ribeira do Piauí";1;-;1;2
"220890 Ribeiro Gonçalves";3;-;-;3
"220915 Santa Cruz dos Milagres";1;-;-;1
"220920 Santa Filomena";2;1;-;3
"220937 Santa Rosa do Piauí";1;-;-;1
"220935 Santana do Piauí";2;-;-;2
"220940 Santo Antônio de Lisboa";1;-;-;1
"220955 São Braz do Piauí";1;1;-;2
"220965 São Francisco de Assis do Piauí";3;-;-;3
"220970 São Francisco do Piauí";2;-;-;2
"220980 São Gonçalo do Piauí";1;-;-;1
"220987 São João da Fronteira";1;-;-;1
"220995 São João da Varjota";2;-;-;2
"220997 São João do Arraial";1;-;-;1
"221000 São João do Piauí";3;2;-;5
"221020 São José do Piauí";1;-;-;1
"221030 São Julião";1;-;-;1
"221040 São Miguel do Tapuio";1;1;-;2
"221050 São Pedro do Piauí";3;-;-;3
"221060 São Raimundo Nonato";6;1;-;7
"221065 Sigefredo Pacheco";1;-;1;2
"221070 Simões";2;1;-;3
"221080 Simplício Mendes";1;-;-;1
"221093 Sussuapara";1;-;-;1
"221097 Tanque do Piauí";2;-;-;2
"221100 Teresina";148;7;9;164
"221110 União";7;-;-;7
"221120 Uruçuí";4;-;1;5
"221130 Valença do Piauí";-;-;1;1
"221135 Várzea Branca";1;-;-;1
"221140 Várzea Grande";1;-;-;1
"221160 Vila Nova do Piauí";1;-;1;2
"230015 Acarape";3;1;-;4
"230020 Acaraú";6;-;1;7
"230030 Acopiara";6;-;1;7
"230040 Aiuaba";-;1;-;1
"230060 Altaneira";-;1;-;1
"230070 Alto Santo";4;-;-;4
"230075 Amontada";5;2;-;7
"230080 Antonina do Norte";3;-;-;3
"230090 Apuiarés";3;-;-;3
"230100 Aquiraz";12;1;2;15
"230110 Aracati";8;-;2;10
"230120 Aracoiaba";3;1;-;4
"230125 Ararendá";1;-;-;1
"230130 Araripe";3;-;-;3
"230140 Aratuba";2;-;-;2
"230150 Arneiroz";1;-;-;1
"230160 Assaré";5;-;-;5
"230170 Aurora";2;-;-;2
"230185 Banabuiú";4;-;-;4
"230190 Barbalha";9;1;1;11
"230195 Barreira";3;-;-;3
"230200 Barro";2;-;-;2
"230205 Barroquinha";1;-;-;1
"230210 Baturité";4;1;-;5
"230220 Beberibe";3;2;-;5
"230230 Bela Cruz";5;-;1;6
"230240 Boa Viagem";3;2;-;5
"230250 Brejo Santo";3;1;1;5
"230260 Camocim";7;1;-;8
"230270 Campos Sales";3;-;-;3
"230280 Canindé";8;1;2;11
"230290 Capistrano";1;1;-;2
"230300 Caridade";-;-;2;2
"230310 Cariré";2;-;-;2
"230320 Caririaçu";2;-;-;2
"230330 Cariús";1;-;-;1
"230340 Carnaubal";2;-;-;2
"230350 Cascavel";11;-;3;14
"230360 Catarina";5;-;-;5
"230370 Caucaia";51;6;4;61
"230380 Cedro";2;1;-;3
"230390 Chaval";1;-;-;1
"230393 Choró";1;-;-;1
"230395 Chorozinho";1;2;-;3
"230400 Coreaú";3;1;-;4
"230410 Crateús";9;-;1;10
"230420 Crato";17;3;2;22
"230423 Croatá";2;1;-;3
"230425 Cruz";4;1;-;5
"230427 Ererê";1;-;-;1
"230428 Eusébio";7;2;1;10
"230430 Farias Brito";3;-;-;3
"230435 Forquilha";1;-;-;1
"230440 Fortaleza";356;23;17;396
"230450 Frecheirinha";2;1;-;3
"230460 General Sampaio";2;-;-;2
"230470 Granja";10;1;-;11
"230490 Groaíras";1;1;-;2
"230495 Guaiúba";1;-;-;1
"230500 Guaraciaba do Norte";7;-;2;9
"230520 Hidrolândia";1;-;-;1
"230523 Horizonte";4;2;-;6
"230526 Ibaretama";7;-;1;8
"230530 Ibiapina";7;-;-;7
"230533 Ibicuitinga";1;-;-;1
"230535 Icapuí";2;-;-;2
"230540 Icó";3;1;1;5
"230550 Iguatu";15;2;-;17
"230560 Independência";3;-;-;3
"230565 Ipaporanga";2;-;-;2
"230570 Ipaumirim";1;-;-;1
"230580 Ipu";4;-;-;4
"230590 Ipueiras";1;-;2;3
"230600 Iracema";5;-;-;5
"230610 Irauçuba";1;-;-;1
"230625 Itaitinga";2;1;-;3
"230630 Itapagé";10;2;-;12
"230640 Itapipoca";17;7;2;26
"230650 Itapiúna";2;1;-;3
"230655 Itarema";5;1;-;6
"230660 Itatira";3;-;-;3
"230670 Jaguaretama";1;-;-;1
"230680 Jaguaribara";1;1;-;2
"230690 Jaguaribe";4;-;-;4
"230700 Jaguaruana";4;-;-;4
"230710 Jardim";1;-;-;1
"230720 Jati";2;-;-;2
"230725 Jijoca de Jericoacoara";-;1;1;2
"230730 Juazeiro do Norte";33;6;1;40
"230740 Jucás";5;-;-;5
"230750 Lavras da Mangabeira";5;-;-;5
"230760 Limoeiro do Norte";5;2;-;7
"230763 Madalena";2;-;-;2
"230765 Maracanaú";33;1;-;34
"230770 Maranguape";17;1;1;19
"230780 Marco";3;1;-;4
"230800 Massapê";5;-;1;6
"230810 Mauriti";3;1;-;4
"230820 Meruoca";-;1;-;1
"230830 Milagres";4;2;-;6
"230835 Milhã";2;1;-;3
"230837 Miraíma";2;-;1;3
"230840 Missão Velha";6;-;1;7
"230850 Mombaça";3;-;-;3
"230860 Monsenhor Tabosa";4;-;-;4
"230870 Morada Nova";6;-;-;6
"230880 Moraújo";1;-;-;1
"230890 Morrinhos";1;-;-;1
"230910 Mulungu";2;-;-;2
"230920 Nova Olinda";5;-;1;6
"230930 Nova Russas";5;1;-;6
"230940 Novo Oriente";7;1;-;8
"230945 Ocara";5;-;-;5
"230950 Orós";1;-;-;1
"230960 Pacajus";7;-;-;7
"230970 Pacatuba";6;2;-;8
"230980 Pacoti";1;-;1;2
"231000 Palhano";2;-;-;2
"231010 Palmácia";1;-;-;1
"231020 Paracuru";5;-;-;5
"231025 Paraipaba";6;-;-;6
"231030 Parambu";5;-;-;5
"231050 Pedra Branca";7;-;-;7
"231060 Penaforte";5;-;-;5
"231070 Pentecoste";5;1;1;7
"231080 Pereiro";3;-;-;3
"231085 Pindoretama";1;-;-;1
"231100 Poranga";3;-;-;3
"231110 Porteiras";2;-;-;2
"231120 Potengi";1;-;-;1
"231126 Quiterianópolis";5;2;-;7
"231130 Quixadá";22;2;-;24
"231135 Quixelô";-;1;-;1
"231140 Quixeramobim";19;1;-;20
"231150 Quixeré";4;-;-;4
"231160 Redenção";1;-;-;1
"231170 Reriutaba";3;-;-;3
"231180 Russas";9;1;1;11
"231190 Saboeiro";2;-;-;2
"231195 Salitre";3;-;-;3
"231220 Santa Quitéria";3;1;-;4
"231200 Santana do Acaraú";4;-;-;4
"231210 Santana do Cariri";1;-;-;1
"231230 São Benedito";5;-;-;5
"231240 São Gonçalo do Amarante";13;3;1;17
"231250 São João do Jaguaribe";-;-;1;1
"231260 São Luís do Curu";2;-;-;2
"231270 Senador Pompeu";5;-;1;6
"231280 Senador Sá";3;-;-;3
"231290 Sobral";18;2;1;21
"231300 Solonópole";5;-;-;5
"231310 Tabuleiro do Norte";2;-;-;2
"231320 Tamboril";1;-;-;1
"231325 Tarrafas";2;-;-;2
"231330 Tauá";3;-;-;3
"231335 Tejuçuoca";2;-;-;2
"231340 Tianguá";9;2;3;14
"231350 Trairi";7;2;-;9
"231355 Tururu";2;-;-;2
"231360 Ubajara";1;1;-;2
"231375 Umirim";5;1;-;6
"231380 Uruburetama";3;1;1;5
"231390 Uruoca";1;-;-;1
"231395 Varjota";2;1;-;3
"231400 Várzea Alegre";3;-;-;3
"231410 Viçosa do Ceará";8;-;1;9
"240010 Acari";1;1;-;2
"240020 Açu";1;-;-;1
"240050 Alexandria";-;1;1;2
"240070 Alto do Rodrigues";2;-;-;2
"240080 Angicos";1;-;-;1
"240100 Apodi";3;1;1;5
"240110 Areia Branca";5;-;-;5
"240120 Arês";4;-;-;4
"240140 Baía Formosa";1;-;-;1
"240145 Baraúna";4;-;-;4
"240160 Bento Fernandes";1;-;-;1
"240170 Bom Jesus";3;-;-;3
"240180 Brejinho";2;-;-;2
"240185 Caiçara do Norte";-;1;1;2
"240200 Caicó";4;-;2;6
"240210 Campo Redondo";2;-;-;2
"240220 Canguaretama";4;2;-;6
"240230 Caraúbas";1;-;-;1
"240250 Carnaubais";1;-;-;1
"240260 Ceará-Mirim";9;-;2;11
"240270 Cerro Corá";2;-;-;2
"240300 Cruzeta";1;-;-;1
"240310 Currais Novos";3;1;-;4
"240350 Espírito Santo";4;-;-;4
"240360 Extremoz";4;1;-;5
"240370 Felipe Guerra";1;-;-;1
"240420 Goianinha";6;-;-;6
"240430 Governador Dix-Sept Rosado";-;-;1;1
"240450 Guamaré";2;-;-;2
"240460 Ielmo Marinho";4;-;-;4
"240470 Ipanguaçu";1;-;-;1
"240485 Itajá";3;1;-;4
"240490 Itaú";-;-;1;1
"240500 Jaçanã";2;-;-;2
"240510 Jandaíra";2;-;-;2
"240530 Januário Cicco";1;-;-;1
"240540 Japi";1;-;-;1
"240560 Jardim de Piranhas";2;-;-;2
"240570 Jardim do Seridó";1;-;-;1
"240580 João Câmara";6;1;-;7
"240600 José da Penha";2;-;-;2
"240610 Jucurutu";2;1;-;3
"240615 Jundiá";2;-;-;2
"240620 Lagoa d'Anta";2;-;-;2
"240630 Lagoa de Pedras";2;-;-;2
"240650 Lagoa Nova";3;1;-;4
"240660 Lagoa Salgada";1;-;-;1
"240670 Lajes";1;-;-;1
"240700 Luís Gomes";3;1;-;4
"240710 Macaíba";6;1;-;7
"240725 Major Sales";-;1;-;1
"240730 Marcelino Vieira";1;1;1;3
"240740 Martins";-;1;-;1
"240750 Maxaranguape";2;-;-;2
"240770 Montanhas";3;-;-;3
"240780 Monte Alegre";2;-;-;2
"240800 Mossoró";41;7;1;49
"240810 Natal";106;11;6;123
"240820 Nísia Floresta";4;-;-;4
"240830 Nova Cruz";3;1;-;4
"240850 Ouro Branco";1;-;-;1
"240890 Parelhas";3;-;-;3
"240325 Parnamirim";19;3;1;23
"240910 Passa e Fica";4;-;-;4
"240920 Passagem";2;-;-;2
"240930 Patu";-;1;-;1
"240940 Pau dos Ferros";2;-;1;3
"240950 Pedra Grande";1;-;-;1
"240960 Pedra Preta";1;-;-;1
"240980 Pedro Velho";3;-;-;3
"240990 Pendências";1;-;-;1
"241010 Poço Branco";2;-;1;3
"241020 Portalegre";1;-;-;1
"241025 Porto do Mangue";1;-;-;1
"241040 Pureza";4;-;-;4
"240895 Rio do Fogo";1;-;-;1
"241120 Santa Cruz";4;-;-;4
"241140 Santana do Matos";1;1;-;2
"241150 Santo Antônio";-;1;-;1
"241180 São Fernando";2;1;-;3
"241200 São Gonçalo do Amarante";17;1;1;19
"241220 São José de Mipibu";6;3;2;11
"241230 São José do Campestre";1;-;-;1
"241250 São Miguel";2;-;-;2
"241260 São Paulo do Potengi";1;-;-;1
"241280 São Rafael";2;-;-;2
"241290 São Tomé";1;-;-;1
"241310 Senador Elói de Souza";2;-;-;2
"241320 Senador Georgino Avelino";1;-;-;1
"241030 Serra Caiada";1;1;1;3
"241330 Serra de São Bento";1;-;-;1
"241335 Serra do Mel";3;-;-;3
"241340 Serra Negra do Norte";1;-;-;1
"241350 Serrinha";2;1;-;3
"241355 Serrinha dos Pintos";-;1;-;1
"241360 Severiano Melo";1;-;-;1
"241390 Taipu";1;-;-;1
"241410 Tenente Ananias";2;-;-;2
"241420 Tibau do Sul";4;-;1;5
"241430 Timbaúba dos Batistas";1;-;-;1
"241440 Touros";1;-;-;1
"241460 Upanema";2;-;-;2
"241475 Venha-Ver";1;-;-;1
"241480 Vera Cruz";1;-;-;1
"241500 Vila Flor";-;1;-;1
"250010 Água Branca";1;-;-;1
"250030 Alagoa Grande";4;-;-;4
"250040 Alagoa Nova";4;1;-;5
"250050 Alagoinha";1;-;-;1
"250053 Alcantil";3;-;-;3
"250060 Alhandra";3;1;-;4
"250077 Aparecida";2;-;-;2
"250080 Araçagi";2;-;-;2
"250090 Arara";1;-;-;1
"250100 Araruna";3;-;-;3
"250110 Areia";2;-;-;2
"250120 Areial";2;1;-;3
"250130 Aroeiras";2;-;-;2
"250140 Baía da Traição";2;-;-;2
"250150 Bananeiras";4;-;-;4
"250160 Barra de Santa Rosa";1;-;-;1
"250157 Barra de Santana";2;-;-;2
"250180 Bayeux";10;1;-;11
"250190 Belém";2;-;-;2
"250200 Belém do Brejo do Cruz";1;1;-;2
"250240 Bonito de Santa Fé";3;1;-;4
"250250 Boqueirão";1;-;-;1
"250270 Borborema";-;1;-;1
"250280 Brejo do Cruz";1;-;-;1
"250290 Brejo dos Santos";-;1;-;1
"250300 Caaporã";5;1;-;6
"250320 Cabedelo";6;1;1;8
"250330 Cachoeira dos Índios";3;-;-;3
"250350 Cacimba de Dentro";2;-;1;3
"250370 Cajazeiras";11;1;-;12
"250375 Cajazeirinhas";1;-;-;1
"250380 Caldas Brandão";1;-;-;1
"250400 Campina Grande";58;5;2;65
"250410 Carrapateira";2;-;-;2
"250415 Casserengue";1;-;1;2
"250420 Catingueira";3;1;1;5
"250430 Catolé do Rocha";-;1;-;1
"250440 Conceição";5;-;-;5
"250450 Condado";1;-;-;1
"250460 Conde";11;-;-;11
"250470 Congo";1;-;-;1
"250480 Coremas";1;-;-;1
"250490 Cruz do Espírito Santo";1;1;-;2
"250510 Cuité";3;-;-;3
"250523 Cuité de Mamanguape";-;1;1;2
"250527 Curral de Cima";-;1;-;1
"250530 Curral Velho";1;-;-;1
"250540 Desterro";1;1;-;2
"250570 Dona Inês";1;-;-;1
"250580 Duas Estradas";1;-;-;1
"250600 Esperança";5;1;-;6
"250610 Fagundes";1;-;-;1
"250625 Gado Bravo";4;-;-;4
"250630 Guarabira";8;-;-;8
"250650 Gurjão";1;-;-;1
"250660 Ibiara";2;-;-;2
"250670 Imaculada";1;-;-;1
"250690 Itabaiana";1;-;1;2
"250700 Itaporanga";1;1;2;4
"250710 Itapororoca";1;-;-;1
"250720 Itatuba";3;-;-;3
"250730 Jacaraú";2;-;-;2
"250750 João Pessoa";116;7;2;125
"250760 Juarez Távora";2;-;-;2
"250770 Juazeirinho";5;1;-;6
"250780 Junco do Seridó";2;-;-;2
"250800 Juru";1;-;-;1
"250830 Lagoa Seca";2;-;-;2
"250840 Lastro";1;-;-;1
"250850 Livramento";1;-;-;1
"250860 Lucena";3;-;1;4
"250870 Mãe d'Água";1;-;-;1
"250890 Mamanguape";5;-;2;7
"250905 Marcação";-;1;-;1
"250910 Mari";1;1;-;2
"250915 Marizópolis";1;-;-;1
"250933 Matinhas";2;-;-;2
"250939 Maturéia";1;-;-;1
"250940 Mogeiro";2;-;1;3
"250950 Montadas";4;-;-;4
"250960 Monte Horebe";2;-;-;2
"250970 Monteiro";6;-;-;6
"250980 Mulungu";2;-;-;2
"251000 Nazarezinho";1;-;-;1
"251010 Nova Floresta";2;-;-;2
"251020 Nova Olinda";2;-;1;3
"251040 Olho d'Água";1;-;-;1
"251060 Ouro Velho";1;-;-;1
"251080 Patos";13;-;1;14
"251090 Paulista";-;1;-;1
"251110 Pedra Lavrada";-;-;1;1
"251120 Pedras de Fogo";5;-;-;5
"251272 Pedro Régis";1;-;-;1
"251130 Piancó";1;1;-;2
"251140 Picuí";2;-;-;2
"251150 Pilar";1;-;-;1
"251160 Pilões";2;-;-;2
"251170 Pilõezinhos";1;-;-;1
"251180 Pirpirituba";-;-;1;1
"251190 Pitimbu";4;-;-;4
"251200 Pocinhos";3;-;1;4
"251203 Poço Dantas";1;-;-;1
"251210 Pombal";2;-;-;2
"251230 Princesa Isabel";4;-;-;4
"251240 Puxinanã";1;-;-;1
"251250 Queimadas";12;1;-;13
"251270 Remígio";1;-;1;2
"251274 Riachão";1;-;-;1
"251276 Riachão do Poço";2;-;-;2
"251290 Rio Tinto";4;-;-;4
"251310 Salgado de São Félix";2;1;-;3
"251315 Santa Cecília";1;-;-;1
"251320 Santa Cruz";2;-;-;2
"251330 Santa Helena";1;-;1;2
"251335 Santa Inês";1;-;-;1
"251340 Santa Luzia";1;-;1;2
"251370 Santa Rita";18;4;2;24
"251392 São Bentinho";1;-;-;1
"251390 São Bento";4;1;-;5
"251396 São Domingos";1;-;1;2
"250070 São João do Rio do Peixe";3;-;-;3
"251430 São José de Caiana";1;-;-;1
"251450 São José de Piranhas";1;-;-;1
"251480 São José dos Cordeiros";2;-;-;2
"251510 São Sebastião de Lagoa de Roça";1;-;-;1
"251520 São Sebastião do Umbuzeiro";1;-;-;1
"251540 São Vicente do Seridó";2;-;-;2
"251530 Sapé";9;1;-;10
"251550 Serra Branca";2;-;1;3
"251570 Serra Grande";2;-;-;2
"251580 Serra Redonda";2;-;-;2
"251590 Serraria";3;-;-;3
"251593 Sertãozinho";-;1;-;1
"251597 Sobrado";2;-;-;2
"251600 Solânea";5;-;-;5
"251610 Soledade";4;-;-;4
"251615 Sossêgo";1;-;-;1
"251620 Sousa";7;2;-;9
"251630 Sumé";1;-;-;1
"251640 Tacima";3;-;-;3
"251650 Taperoá";3;1;1;5
"251660 Tavares";4;-;1;5
"251670 Teixeira";1;-;-;1
"251690 Uiraúna";2;2;-;4
"251700 Umbuzeiro";3;-;-;3
"260005 Abreu e Lima";10;1;1;12
"260010 Afogados da Ingazeira";2;-;-;2
"260020 Afrânio";4;-;-;4
"260030 Agrestina";2;-;-;2
"260040 Água Preta";2;1;2;5
"260050 Águas Belas";12;-;2;14
"260060 Alagoinha";2;-;1;3
"260070 Aliança";6;1;-;7
"260080 Altinho";5;-;-;5
"260090 Amaraji";5;1;-;6
"260100 Angelim";2;-;-;2
"260105 Araçoiaba";3;-;-;3
"260110 Araripina";13;2;-;15
"260120 Arcoverde";23;1;3;27
"260130 Barra de Guabiraba";1;1;-;2
"260140 Barreiros";8;-;2;10
"260160 Belém do São Francisco";1;-;1;2
"260170 Belo Jardim";9;2;-;11
"260180 Betânia";3;1;-;4
"260190 Bezerros";4;-;1;5
"260200 Bodocó";8;1;-;9
"260210 Bom Conselho";9;-;1;10
"260220 Bom Jardim";-;1;-;1
"260230 Bonito";2;1;2;5
"260260 Brejo da Madre de Deus";8;1;-;9
"260270 Buenos Aires";3;1;1;5
"260280 Buíque";13;1;3;17
"260290 Cabo de Santo Agostinho";17;3;1;21
"260300 Cabrobó";8;1;-;9
"260310 Cachoeirinha";3;-;-;3
"260320 Caetés";4;-;-;4
"260340 Calumbi";2;-;-;2
"260345 Camaragibe";21;5;1;27
"260350 Camocim de São Félix";3;-;-;3
"260370 Canhotinho";2;1;-;3
"260380 Capoeiras";2;-;-;2
"260390 Carnaíba";5;1;-;6
"260392 Carnaubeira da Penha";2;-;-;2
"260400 Carpina";7;-;-;7
"260410 Caruaru";45;7;1;53
"260415 Casinhas";1;-;1;2
"260420 Catende";5;-;-;5
"260430 Cedro";1;-;-;1
"260440 Chã de Alegria";2;-;-;2
"260450 Chã Grande";2;1;1;4
"260460 Condado";-;1;-;1
"260470 Correntes";3;-;-;3
"260480 Cortês";1;-;-;1
"260490 Cumaru";-;1;-;1
"260500 Cupira";5;2;2;9
"260510 Custódia";4;-;-;4
"260515 Dormentes";6;1;-;7
"260520 Escada";8;1;-;9
"260530 Exu";7;-;-;7
"260540 Feira Nova";1;1;1;3
"260550 Ferreiros";1;-;-;1
"260560 Flores";3;1;-;4
"260570 Floresta";6;2;1;9
"260580 Frei Miguelinho";2;-;-;2
"260590 Gameleira";2;-;-;2
"260600 Garanhuns";19;2;2;23
"260610 Glória do Goitá";4;1;-;5
"260620 Goiana";11;1;1;13
"260630 Granito";1;-;-;1
"260640 Gravatá";2;3;-;5
"260650 Iati";1;-;-;1
"260660 Ibimirim";3;-;-;3
"260680 Igarassu";20;-;-;20
"260690 Iguaracy";1;-;1;2
"260760 Ilha de Itamaracá";1;1;-;2
"260700 Inajá";6;-;-;6
"260720 Ipojuca";15;2;-;17
"260730 Ipubi";6;3;1;10
"260750 Itaíba";1;1;-;2
"260765 Itambé";2;-;-;2
"260770 Itapetim";1;-;-;1
"260775 Itapissuma";1;-;-;1
"260780 Itaquitinga";1;-;-;1
"260790 Jaboatão dos Guararapes";71;8;1;80
"260800 Jataúba";4;-;-;4
"260805 Jatobá";3;-;-;3
"260810 João Alfredo";3;-;-;3
"260825 Jucati";4;-;-;4
"260830 Jupi";2;-;-;2
"260840 Jurema";1;-;-;1
"260850 Lagoa de Itaenga";2;-;-;2
"260845 Lagoa do Carro";2;-;1;3
"260860 Lagoa do Ouro";4;-;-;4
"260870 Lagoa dos Gatos";-;-;1;1
"260875 Lagoa Grande";1;1;-;2
"260880 Lajedo";9;2;-;11
"260890 Limoeiro";4;-;-;4
"260900 Macaparana";2;2;-;4
"260915 Manari";1;-;-;1
"260920 Maraial";1;1;-;2
"260930 Mirandiba";2;-;-;2
"260940 Moreno";4;-;1;5
"260950 Nazaré da Mata";6;-;1;7
"260960 Olinda";32;6;1;39
"260970 Orobó";1;1;-;2
"260980 Orocó";3;-;-;3
"260990 Ouricuri";10;-;-;10
"261000 Palmares";12;2;-;14
"261020 Panelas";2;1;-;3
"261040 Parnamirim";3;1;-;4
"261050 Passira";2;1;-;3
"261060 Paudalho";6;-;1;7
"261070 Paulista";35;3;2;40
"261080 Pedra";5;-;-;5
"261090 Pesqueira";7;1;1;9
"261100 Petrolândia";4;2;-;6
"261110 Petrolina";71;7;3;81
"261120 Poção";3;-;-;3
"261130 Pombos";4;-;-;4
"261140 Primavera";1;-;-;1
"261150 Quipapá";2;1;1;4
"261153 Quixaba";1;-;-;1
"261160 Recife";176;11;7;194
"261170 Riacho das Almas";2;-;-;2
"261180 Ribeirão";2;1;-;3
"261190 Rio Formoso";4;-;-;4
"261200 Sairé";1;-;-;1
"261220 Salgueiro";11;1;1;13
"261230 Saloá";1;-;-;1
"261240 Sanharó";4;-;-;4
"261245 Santa Cruz";6;-;-;6
"261247 Santa Cruz da Baixa Verde";4;-;-;4
"261250 Santa Cruz do Capibaribe";18;2;-;20
"261255 Santa Filomena";2;1;-;3
"261260 Santa Maria da Boa Vista";5;1;-;6
"261270 Santa Maria do Cambucá";1;-;-;1
"261280 Santa Terezinha";2;-;-;2
"261290 São Benedito do Sul";2;-;-;2
"261300 São Bento do Una";3;1;-;4
"261310 São Caitano";3;-;-;3
"261320 São João";3;-;-;3
"261340 São José da Coroa Grande";1;-;1;2
"261350 São José do Belmonte";4;-;1;5
"261360 São José do Egito";3;1;-;4
"261370 São Lourenço da Mata";7;1;1;9
"261380 São Vicente Ferrer";2;-;-;2
"261390 Serra Talhada";11;3;-;14
"261400 Serrita";7;-;1;8
"261410 Sertânia";3;1;1;5
"261420 Sirinhaém";8;-;-;8
"261440 Solidão";1;-;1;2
"261450 Surubim";4;2;-;6
"261460 Tabira";2;-;1;3
"261470 Tacaimbó";2;-;-;2
"261480 Tacaratu";5;1;-;6
"261485 Tamandaré";5;1;-;6
"261510 Terezinha";1;1;-;2
"261520 Terra Nova";-;-;1;1
"261530 Timbaúba";2;1;1;4
"261540 Toritama";7;2;2;11
"261550 Tracunhaém";1;-;-;1
"261560 Trindade";7;-;-;7
"261570 Triunfo";1;-;-;1
"261580 Tupanatinga";6;3;-;9
"261590 Tuparetama";2;-;-;2
"261600 Venturosa";3;-;-;3
"261618 Vertente do Lério";1;-;-;1
"261620 Vertentes";6;-;-;6
"261630 Vicência";2;-;-;2
"261640 Vitória de Santo Antão";8;3;1;12
"261650 Xexéu";1;-;-;1
"260000 Município ignorado - PE";-;1;-;1
"270010 Água Branca";3;-;1;4
"270020 Anadia";4;-;-;4
"270030 Arapiraca";29;2;2;33
"270040 Atalaia";8;-;1;9
"270050 Barra de Santo Antônio";2;-;-;2
"270060 Barra de São Miguel";1;-;-;1
"270070 Batalha";2;-;-;2
"270080 Belém";3;-;-;3
"270090 Belo Monte";1;-;-;1
"270100 Boca da Mata";11;-;1;12
"270110 Branquinha";1;1;-;2
"270120 Cacimbinhas";5;-;-;5
"270130 Cajueiro";7;1;-;8
"270140 Campo Alegre";6;1;1;8
"270150 Campo Grande";-;1;-;1
"270160 Canapi";4;-;1;5
"270170 Capela";1;-;1;2
"270180 Carneiros";2;-;-;2
"270190 Chã Preta";1;-;-;1
"270200 Coité do Nóia";2;-;-;2
"270210 Colônia Leopoldina";2;-;-;2
"270220 Coqueiro Seco";-;1;-;1
"270230 Coruripe";8;-;-;8
"270235 Craíbas";2;2;-;4
"270240 Delmiro Gouveia";7;-;-;7
"270250 Dois Riachos";1;1;1;3
"270255 Estrela de Alagoas";1;-;-;1
"270260 Feira Grande";5;-;1;6
"270270 Feliz Deserto";-;-;1;1
"270280 Flexeiras";2;-;-;2
"270290 Girau do Ponciano";4;2;1;7
"270300 Ibateguara";2;-;-;2
"270310 Igaci";6;-;1;7
"270320 Igreja Nova";1;-;-;1
"270330 Inhapi";2;1;-;3
"270340 Jacaré dos Homens";1;-;-;1
"270370 Jaramataia";-;1;-;1
"270380 Joaquim Gomes";6;1;-;7
"270400 Junqueiro";3;-;-;3
"270410 Lagoa da Canoa";5;2;-;7
"270420 Limoeiro de Anadia";5;-;1;6
"270430 Maceió";137;14;8;159
"270440 Major Isidoro";2;1;-;3
"270490 Mar Vermelho";1;-;-;1
"270450 Maragogi";9;-;-;9
"270470 Marechal Deodoro";9;1;1;11
"270480 Maribondo";1;-;-;1
"270500 Mata Grande";5;-;-;5
"270510 Matriz de Camaragibe";5;-;-;5
"270520 Messias";1;-;-;1
"270530 Minador do Negrão";-;1;-;1
"270540 Monteirópolis";2;-;1;3
"270550 Murici";6;1;-;7
"270570 Olho d'Água das Flores";6;-;-;6
"270580 Olho d'Água do Casado";1;-;-;1
"270590 Olho d'Água Grande";-;1;-;1
"270600 Olivença";6;-;-;6
"270610 Ouro Branco";1;1;-;2
"270620 Palestina";1;-;-;1
"270630 Palmeira dos Índios";14;1;1;16
"270640 Pão de Açúcar";-;1;-;1
"270642 Pariconha";1;1;-;2
"270644 Paripueira";2;1;-;3
"270650 Passo de Camaragibe";-;1;-;1
"270660 Paulo Jacinto";1;-;-;1
"270670 Penedo";9;2;1;12
"270680 Piaçabuçu";2;-;-;2
"270690 Pilar";3;1;-;4
"270710 Piranhas";4;1;2;7
"270720 Poço das Trincheiras";6;-;-;6
"270730 Porto Calvo";3;1;-;4
"270740 Porto de Pedras";2;-;-;2
"270750 Porto Real do Colégio";2;-;-;2
"270760 Quebrangulo";1;1;1;3
"270770 Rio Largo";12;1;-;13
